Rating,ID,Title,Title Slug
2533.7796160302,1948,"Delete Duplicate Folders in System",delete-duplicate-folders-in-system
2533.3027905062,1675,"Minimize Deviation in Array",minimize-deviation-in-array
2533.2830157959,2736,"Maximum Sum Queries",maximum-sum-queries
2531.6452775023,1896,"Minimum Cost to Change the Final Value of Expression",minimum-cost-to-change-the-final-value-of-expression
2530.6905139914,1776,"Car Fleet II",car-fleet-ii
2529.5251086936,1632,"Rank Transform of a Matrix",rank-transform-of-a-matrix
2517.6829964848,2040,"Kth Smallest Product of Two Sorted Arrays",kth-smallest-product-of-two-sorted-arrays
2515.7520586008,2272,"Substring With Largest Variance",substring-with-largest-variance
2513.0284514744,3161,"Block Placement Queries",block-placement-queries
2507.9960044659,2846,"Minimum Edge Weight Equilibrium Queries in a Tree",minimum-edge-weight-equilibrium-queries-in-a-tree
2502.5176603922,1938,"Maximum Genetic Difference Query",maximum-genetic-difference-query
2499.5640490579,1735,"Count Ways to Make Array With Product",count-ways-to-make-array-with-product
2499.3282271507,2157,"Groups of Strings",groups-of-strings
2489.6652421066,2035,"Partition Array Into Two Arrays to Minimize Sum Difference",partition-array-into-two-arrays-to-minimize-sum-difference
2486.2339675701,1916,"Count Ways to Build Rooms in an Ant Colony",count-ways-to-build-rooms-in-an-ant-colony
2483.9435767299,1932,"Merge BSTs to Create Single BST",merge-bsts-to-create-single-bst
2481.8722909195,2289,"Steps to Make Array Non-decreasing",steps-to-make-array-non-decreasing
2481.7175364169,1330,"Reverse Subarray To Maximize Array Value",reverse-subarray-to-maximize-array-value
2479.3282985529,1803,"Count Pairs With XOR in a Range",count-pairs-with-xor-in-a-range
2476.7727985927,2117,"Abbreviating the Product of a Range",abbreviating-the-product-of-a-range
2476.4517642870,1622,"Fancy Sequence",fancy-sequence
2470.2118194809,2286,"Booking Concert Tickets in Groups",booking-concert-tickets-in-groups
2466.8891773908,1703,"Minimum Adjacent Swaps for K Consecutive Ones",minimum-adjacent-swaps-for-k-consecutive-ones
2464.5077611012,1994,"The Number of Good Subsets",the-number-of-good-subsets
2460.3152437576,2440,"Create Components With Same Value",create-components-with-same-value
2457.1155741860,1782,"Count Pairs Of Nodes",count-pairs-of-nodes
2456.3900212097,1499,"Max Value of Equation",max-value-of-equation
2455.8244137907,1040,"Moving Stones Until Consecutive II",moving-stones-until-consecutive-ii
2454.7653333657,1900,"The Earliest and Latest Rounds Where Players Compete",the-earliest-and-latest-rounds-where-players-compete
2453.9054896968,2463,"Minimum Total Distance Traveled",minimum-total-distance-traveled
2451.1558771446,3134,"Find the Median of the Uniqueness Array",find-the-median-of-the-uniqueness-array
2449.3352959316,2953,"Count Complete Substrings",count-complete-substrings
2449.1323757838,2127,"Maximum Employees to Be Invited to a Meeting",maximum-employees-to-be-invited-to-a-meeting
2448.4455464535,2926,"Maximum Balanced Subsequence Sum",maximum-balanced-subsequence-sum
2444.7192647604,2949,"Count Beautiful Substrings II",count-beautiful-substrings-ii
2444.6660756903,2421,"Number of Good Paths",number-of-good-paths
2444.2791027022,2968,"Apply Operations to Maximize Frequency Score",apply-operations-to-maximize-frequency-score
2439.7337408636,1872,"Stone Game VIII",stone-game-viii
2433.3767704629,903,"Valid Permutations for DI Sequence",valid-permutations-for-di-sequence
2432.7133991110,2552,"Count Increasing Quadruplets",count-increasing-quadruplets
2432.4146343542,2565,"Subsequence With the Minimum Score",subsequence-with-the-minimum-score
2429.6705422448,782,"Transform to Chessboard",transform-to-chessboard
2429.0940568399,1998,"GCD Sort of an Array",gcd-sort-of-an-array
2428.7985254341,1044,"Longest Duplicate Substring",longest-duplicate-substring
2428.3242593838,2867,"Count Valid Paths in a Tree",count-valid-paths-in-a-tree
2424.6761561972,2742,"Painting the Walls",painting-the-walls
2422.5309771173,1000,"Minimum Cost to Merge Stones",minimum-cost-to-merge-stones
2422.3128048015,1987,"Number of Unique Good Subsequences",number-of-unique-good-subsequences
2419.5791089724,2572,"Count the Number of Square-Free Subsets",count-the-number-of-square-free-subsets
2418.5742747632,1203,"Sort Items by Groups Respecting Dependencies",sort-items-by-groups-respecting-dependencies
2415.7434855724,2663,"Lexicographically Smallest Beautiful String",lexicographically-smallest-beautiful-string
2415.2802039252,2493,"Divide Nodes Into the Maximum Number of Groups",divide-nodes-into-the-maximum-number-of-groups
2415.0089731911,2003,"Smallest Missing Genetic Value in Each Subtree",smallest-missing-genetic-value-in-each-subtree
2414.6227484407,2518,"Number of Great Partitions",number-of-great-partitions
2413.3969129689,1928,"Minimum Cost to Reach Destination in Time",minimum-cost-to-reach-destination-in-time
2409.7580728676,1388,"Pizza With 3n Slices",pizza-with-3n-slices
2405.3375364501,2747,"Count Zero Request Servers",count-zero-request-servers
2399.5729141925,920,"Number of Music Playlists",number-of-music-playlists
2397.9722495587,2538,"Difference Between Maximum and Minimum Price Sum",difference-between-maximum-and-minimum-price-sum
2397.8728428256,2569,"Handling Sum Queries After Update",handling-sum-queries-after-update
2396.6770372863,2818,"Apply Operations to Maximize Score",apply-operations-to-maximize-score
2396.6267778669,808,"Soup Servings",soup-servings
2395.8765531206,1825,"Finding MK Average",finding-mk-average
2392.0799451298,2172,"Maximum AND Sum of Array",maximum-and-sum-of-array
2391.8086687918,818,"Race Car",race-car
2391.6572707330,2322,"Minimum Score After Removals on a Tree",minimum-score-after-removals-on-a-tree
2389.9634276167,1681,"Minimum Incompatibility",minimum-incompatibility
2387.9289198649,3116,"Kth Smallest Amount With Single Denomination Combination",kth-smallest-amount-with-single-denomination-combination
2387.3525635254,2713,"Maximum Strictly Increasing Cells in a Matrix",maximum-strictly-increasing-cells-in-a-matrix
2385.8072128533,1349,"Maximum Students Taking Exam",maximum-students-taking-exam
2383.7724811656,1521,"Find a Value of a Mysterious Function Closest to Target",find-a-value-of-a-mysterious-function-closest-to-target
2381.6255832890,2577,"Minimum Time to Visit a Cell In a Grid",minimum-time-to-visit-a-cell-in-a-grid
2381.6019709166,2468,"Split Message Based on Limit",split-message-based-on-limit
2381.4790248580,956,"Tallest Billboard",tallest-billboard
2381.2160234811,2334,"Subarray With Elements Greater Than Varying Threshold",subarray-with-elements-greater-than-varying-threshold
2380.5983169295,2589,"Minimum Time to Complete All Tasks",minimum-time-to-complete-all-tasks
2378.6234112504,757,"Set Intersection Size At Least Two",set-intersection-size-at-least-two
2377.3895801187,854,"K-Similar Strings",k-similar-strings
2376.8658923518,887,"Super Egg Drop",super-egg-drop
2374.1850487395,1840,"Maximum Building Height",maximum-building-height
2368.6674771307,2556,"Disconnect Path in a Binary Matrix by at Most One Flip",disconnect-path-in-a-binary-matrix-by-at-most-one-flip
2367.4705934718,2801,"Count Stepping Numbers in Range",count-stepping-numbers-in-range
2366.7099607655,1183,"Maximum Number of Ones",maximum-number-of-ones
2364.8208393306,3177,"Find the Maximum Length of a Good Subsequence II",find-the-maximum-length-of-a-good-subsequence-ii
2364.3930657709,2132,"Stamping the Grid",stamping-the-grid
2364.3455634374,2203,"Minimum Weighted Subgraph With the Required Paths",minimum-weighted-subgraph-with-the-required-paths
2363.5096568214,1755,"Closest Subsequence Sum",closest-subsequence-sum
2363.0240184484,2312,"Selling Pieces of Wood",selling-pieces-of-wood
2362.6480880348,1520,"Maximum Number of Non-Overlapping Substrings",maximum-number-of-non-overlapping-substrings
2358.9669560824,1707,"Maximum XOR With an Element From Array",maximum-xor-with-an-element-from-array
2356.5811122453,1467,"Probability of a Two Boxes Having The Same Number of Distinct Balls",probability-of-a-two-boxes-having-the-same-number-of-distinct-balls
2354.5411153127,2719,"Count of Integers",count-of-integers
2351.2293628792,2999,"Count the Number of Powerful Integers",count-the-number-of-powerful-integers
2350.9694374861,1713,"Minimum Operations to Make a Subsequence",minimum-operations-to-make-a-subsequence
2350.7421492104,2920,"Maximum Points After Collecting Coins From All Nodes",maximum-points-after-collecting-coins-from-all-nodes
2350.0380300939,837,"New 21 Game",new-21-game
2348.7273357105,2935,"Maximum Strong Pair XOR II",maximum-strong-pair-xor-ii
2348.5159376523,1096,"Brace Expansion II",brace-expansion-ii
2346.5717839654,2258,"Escape the Spreading Fire",escape-the-spreading-fire
2345.3418191684,1611,"Minimum One Bit Operations to Make Integers Zero",minimum-one-bit-operations-to-make-integers-zero
2344.3664724791,2478,"Number of Beautiful Partitions",number-of-beautiful-partitions
2341.4506355884,810,"Chalkboard XOR Game",chalkboard-xor-game
2336.5210003185,1505,"Minimum Possible Integer After at Most K Adjacent Swaps On Digits",minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits
2333.2401505813,1674,"Minimum Moves to Make Array Complementary",minimum-moves-to-make-array-complementary
2333.0621537307,1866,"Number of Ways to Rearrange Sticks With K Sticks Visible",number-of-ways-to-rearrange-sticks-with-k-sticks-visible
2333.0078041754,1585,"Check If String Is Transformable With Substring Sort Operations",check-if-string-is-transformable-with-substring-sort-operations
2328.4294689238,882,"Reachable Nodes In Subdivided Graph",reachable-nodes-in-subdivided-graph
2327.5726642605,3045,"Count Prefix and Suffix Pairs II",count-prefix-and-suffix-pairs-ii
2327.4743300299,2940,"Find Building Where Alice and Bob Can Meet",find-building-where-alice-and-bob-can-meet
2324.1192580053,2827,"Number of Beautiful Integers in the Range",number-of-beautiful-integers-in-the-range
2315.6037017989,1187,"Make Array Strictly Increasing",make-array-strictly-increasing
2315.0547336936,2188,"Minimum Time to Finish the Race",minimum-time-to-finish-the-race
2312.9919953644,1857,"Largest Color Value in a Directed Graph",largest-color-value-in-a-directed-graph
2310.3824631335,1959,"Minimum Total Space Wasted With K Resizing Operations",minimum-total-space-wasted-with-k-resizing-operations
2308.6545905335,1617,"Count Subtrees With Max Distance Between Cities",count-subtrees-with-max-distance-between-cities
2307.0161713185,1655,"Distribute Repeating Integers",distribute-repeating-integers
2306.8472649456,862,"Shortest Subarray with Sum at Least K",shortest-subarray-with-sum-at-least-k
2305.4498281454,2306,"Naming a Company",naming-a-company
2304.3094138939,2242,"Maximum Score of a Node Sequence",maximum-score-of-a-node-sequence
2302.4005640818,2513,"Minimize the Maximum of Two Arrays",minimize-the-maximum-of-two-arrays
2301.4069974024,2897,"Apply Operations on Array to Maximize Sum of Squares",apply-operations-on-array-to-maximize-sum-of-squares
2300.1557840589,1697,"Checking Existence of Edge Length Limited Paths",checking-existence-of-edge-length-limited-paths
2298.6242048519,2458,"Height of Binary Tree After Subtree Removal Queries",height-of-binary-tree-after-subtree-removal-queries
2297.1053625160,1263,"Minimum Moves to Move a Box to Their Target Location",minimum-moves-to-move-a-box-to-their-target-location
2294.8289305714,2858,"Minimum Edge Reversals So Every Node Is Reachable",minimum-edge-reversals-so-every-node-is-reachable
2294.0981174197,932,"Beautiful Array",beautiful-array
2292.1434666805,761,"Special Binary String",special-binary-string
2291.6794536377,2862,"Maximum Element-Sum of a Complete Subset of Indices",maximum-element-sum-of-a-complete-subset-of-indices
2290.9040038639,1591,"Strange Printer II",strange-printer-ii
2288.2117442123,1569,"Number of Ways to Reorder Array to Get Same BST",number-of-ways-to-reorder-array-to-get-same-bst
2286.1378742318,1851,"Minimum Interval to Include Each Query",minimum-interval-to-include-each-query
2284.4463940346,1723,"Find Minimum Time to Finish All Jobs",find-minimum-time-to-finish-all-jobs
2281.8816902545,2659,"Make Array Empty",make-array-empty
2280.3143643878,2407,"Longest Increasing Subsequence II",longest-increasing-subsequence-ii
2277.9557248587,3031,"Minimum Time to Revert Word to Initial State II",minimum-time-to-revert-word-to-initial-state-ii
2277.7923804151,2763,"Sum of Imbalance Numbers of All Subarrays",sum-of-imbalance-numbers-of-all-subarrays
2277.3595662538,2029,"Stone Game IX",stone-game-ix
2277.0238076464,749,"Contain Virus",contain-virus
2276.9256951751,2973,"Find Number of Coins to Place in Tree Nodes",find-number-of-coins-to-place-in-tree-nodes
2276.4233585631,1498,"Number of Subsequences That Satisfy the Given Sum Condition",number-of-subsequences-that-satisfy-the-given-sum-condition
2275.7337818748,1606,"Find Servers That Handled Most Number of Requests",find-servers-that-handled-most-number-of-requests
2273.7910625337,753,"Cracking the Safe",cracking-the-safe
2273.2215764545,1434,"Number of Ways to Wear Different Hats to Each Other",number-of-ways-to-wear-different-hats-to-each-other
2272.4412003208,2179,"Count Good Triplets in an Array",count-good-triplets-in-an-array
2272.1122260637,952,"Largest Component Size by Common Factor",largest-component-size-by-common-factor
2267.7081680968,3068,"Find the Maximum Sum of Node Values",find-the-maximum-sum-of-node-values
2265.2118886972,2141,"Maximum Running Time of N Computers",maximum-running-time-of-n-computers
2262.5641910108,3048,"Earliest Second to Mark Indices I",earliest-second-to-mark-indices-i
2260.2799775623,1997,"First Day Where You Have Been in All the Rooms",first-day-where-you-have-been-in-all-the-rooms
2259.6572191969,857,"Minimum Cost to Hire K Workers",minimum-cost-to-hire-k-workers
2258.6371797452,864,"Shortest Path to Get All Keys",shortest-path-to-get-all-keys
2258.0069047781,3007,"Maximum Number That Sum of the Prices Is Less Than or Equal to K",maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k
2250.9318291559,1125,"Smallest Sufficient Team",smallest-sufficient-team
2250.2578740769,1199,"Minimum Time to Build Blocks",minimum-time-to-build-blocks
2250.0454791316,1307,"Verbal Arithmetic Puzzle",verbal-arithmetic-puzzle
2246.8671174565,960,"Delete Columns to Make Sorted III",delete-columns-to-make-sorted-iii
2246.0452639352,2183,"Count Array Pairs Divisible by K",count-array-pairs-divisible-by-k
2241.6583403983,3082,"Find the Sum of the Power of All Subsequences",find-the-sum-of-the-power-of-all-subsequences
2241.5199974312,1240,"Tiling a Rectangle with the Fewest Squares",tiling-a-rectangle-with-the-fewest-squares
2239.7101856677,2732,"Find a Good Subset of the Matrix",find-a-good-subset-of-the-matrix
2238.2830745228,2646,"Minimize the Total Price of the Trips",minimize-the-total-price-of-the-trips
2235.9672341699,850,"Rectangle Area II",rectangle-area-ii
2235.5784618885,2528,"Maximize the Minimum Powered City",maximize-the-minimum-powered-city
2234.9191877602,1915,"Number of Wonderful Substrings",number-of-wonderful-substrings
2233.9639034080,1178,"Number of Valid Words for Each Puzzle",number-of-valid-words-for-each-puzzle
2231.8099102949,1766,"Tree of Coprimes",tree-of-coprimes
2231.1942136357,3041,"Maximize Consecutive Elements in an Array After Modification",maximize-consecutive-elements-in-an-array-after-modification
2230.1673059455,1012,"Numbers With Repeated Digits",numbers-with-repeated-digits
2228.3454693625,2581,"Count Number of Possible Root Nodes",count-number-of-possible-root-nodes
2227.3896051956,2930,"Number of Strings Which Can Be Rearranged to Contain Substring",number-of-strings-which-can-be-rearranged-to-contain-substring
2225.3877535768,2163,"Minimum Difference in Sums After Removal of Elements",minimum-difference-in-sums-after-removal-of-elements
2223.1762282199,2484,"Count Palindromic Subsequences",count-palindromic-subsequences
2222.4805422748,2276,"Count Integers in Intervals",count-integers-in-intervals
2221.7931857140,2561,"Rearranging Fruits",rearranging-fruits
2221.7336557442,1542,"Find Longest Awesome Substring",find-longest-awesome-substring
2221.3538766773,1627,"Graph Connectivity With Threshold",graph-connectivity-with-threshold
2220.8257124139,2543,"Check if Point Is Reachable",check-if-point-is-reachable
2220.0903365738,2223,"Sum of Scores of Built Strings",sum-of-scores-of-built-strings
2219.3465296423,2167,"Minimum Time to Remove All Cars Containing Illegal Goods",minimum-time-to-remove-all-cars-containing-illegal-goods
2217.8090802563,2025,"Maximum Number of Ways to Partition an Array",maximum-number-of-ways-to-partition-an-array
2215.7283064325,3102,"Minimize Manhattan Distances",minimize-manhattan-distances
2214.4798747386,1889,"Minimum Space Wasted From Packaging",minimum-space-wasted-from-packaging
2210.3503183571,992,"Subarrays with K Different Integers",subarrays-with-k-different-integers
2209.8815936961,2081,"Sum of k-Mirror Numbers",sum-of-k-mirror-numbers
2209.8785430371,2876,"Count Visited Nodes in a Directed Graph",count-visited-nodes-in-a-directed-graph
2208.5532172086,1568,"Minimum Number of Days to Disconnect Island",minimum-number-of-days-to-disconnect-island
2207.8565809952,1649,"Create Sorted Array through Instructions",create-sorted-array-through-instructions
2207.4917475411,2835,"Minimum Operations to Form Subsequence With Target Sum",minimum-operations-to-form-subsequence-with-target-sum
2205.4304373587,1157,"Online Majority Element In Subarray",online-majority-element-in-subarray
2204.3524370174,879,"Profitable Schemes",profitable-schemes
2203.5694828019,2781,"Length of the Longest Valid Substring",length-of-the-longest-valid-substring
2203.1738850937,1246,"Palindrome Removal",palindrome-removal
2201.8209584221,1453,"Maximum Number of Darts Inside of a Circular Dartboard",maximum-number-of-darts-inside-of-a-circular-dartboard
2201.6219336792,2045,"Second Minimum Time to Reach Destination",second-minimum-time-to-reach-destination
2200.6623666057,847,"Shortest Path Visiting All Nodes",shortest-path-visiting-all-nodes
2200.1171591946,3129,"Find All Possible Stable Binary Arrays I",find-all-possible-stable-binary-arrays-i
2198.4642973466,1739,"Building Boxes",building-boxes
2198.3290662783,1621,"Number of Sets of K Non-Overlapping Line Segments",number-of-sets-of-k-non-overlapping-line-segments
2197.0951445919,834,"Sum of Distances in Tree",sum-of-distances-in-tree
2195.6540241654,2503,"Maximum Number of Points From Grid Queries",maximum-number-of-points-from-grid-queries
2190.1757477854,1478,"Allocate Mailboxes",allocate-mailboxes
2189.3802630548,1074,"Number of Submatrices That Sum to Target",number-of-submatrices-that-sum-to-target
2185.5444704515,943,"Find the Shortest Superstring",find-the-shortest-superstring
2184.5241011615,1081,"Smallest Subsequence of Distinct Characters",smallest-subsequence-of-distinct-characters
2182.6180030785,891,"Sum of Subsequence Widths",sum-of-subsequence-widths
2182.0544529810,1771,"Maximize Palindrome Length From Subsequences",maximize-palindrome-length-from-subsequences
2181.7821188042,1912,"Design Movie Rental System",design-movie-rental-system
2178.4249114144,2065,"Maximum Path Quality of a Graph",maximum-path-quality-of-a-graph
2175.7874705227,2768,"Number of Black Blocks",number-of-black-blocks
2175.6850426027,1420,"Build Array Where You Can Find The Maximum Exactly K Comparisons",build-array-where-you-can-find-the-maximum-exactly-k-comparisons
2175.1190473433,2454,"Next Greater Element IV",next-greater-element-iv
2172.3890687963,2896,"Apply Operations to Make Two Strings Equal",apply-operations-to-make-two-strings-equal
2171.9645269732,2709,"Greatest Common Divisor Traversal",greatest-common-divisor-traversal
2171.7160666640,1691,"Maximum Height by Stacking Cuboids ",maximum-height-by-stacking-cuboids
2170.1079846744,1862,"Sum of Floored Pairs",sum-of-floored-pairs
2170.0439693714,1931,"Painting a Grid With Three Different Colors",painting-a-grid-with-three-different-colors
