Rating,ID,Title,Title Slug,Difficulty,premium,status
2530.6905139914,1776,Car Fleet II,car-fleet-ii,Hard,False,
2529.5251086936,1632,Rank Transform of a Matrix,rank-transform-of-a-matrix,Hard,False,
2517.6829964848,2040,Kth Smallest Product of Two Sorted Arrays,kth-smallest-product-of-two-sorted-arrays,Hard,False,
2515.7520586008,2272,Substring With Largest Variance,substring-with-largest-variance,Hard,False,
2513.0284514744,3161,Block Placement Queries,block-placement-queries,Hard,False,
2507.9960044659,2846,Minimum Edge Weight Equilibrium Queries in a Tree,minimum-edge-weight-equilibrium-queries-in-a-tree,Hard,False,
2502.5176603922,1938,Maximum Genetic Difference Query,maximum-genetic-difference-query,Hard,False,
2499.5640490579,1735,Count Ways to Make Array With Product,count-ways-to-make-array-with-product,Hard,False,
2499.3282271507,2157,Groups of Strings,groups-of-strings,Hard,False,
2489.6652421066,2035,Partition Array Into Two Arrays to Minimize Sum Difference,partition-array-into-two-arrays-to-minimize-sum-difference,Hard,False,
2486.2339675701,1916,Count Ways to Build Rooms in an Ant Colony,count-ways-to-build-rooms-in-an-ant-colony,Hard,False,
2483.9435767299,1932,Merge BSTs to Create Single BST,merge-bsts-to-create-single-bst,Hard,False,
2481.8722909195,2289,Steps to Make Array Non-decreasing,steps-to-make-array-non-decreasing,Medium,False,
2481.7175364169,1330,Reverse Subarray To Maximize Array Value,reverse-subarray-to-maximize-array-value,Hard,False,
2479.3282985529,1803,Count Pairs With XOR in a Range,count-pairs-with-xor-in-a-range,Hard,False,
2476.7727985927,2117,Abbreviating the Product of a Range,abbreviating-the-product-of-a-range,Hard,False,
2476.451764287,1622,Fancy Sequence,fancy-sequence,Hard,False,
2470.2118194809,2286,Booking Concert Tickets in Groups,booking-concert-tickets-in-groups,Hard,False,
2466.8891773908,1703,Minimum Adjacent Swaps for K Consecutive Ones,minimum-adjacent-swaps-for-k-consecutive-ones,Hard,False,
2464.5077611012,1994,The Number of Good Subsets,the-number-of-good-subsets,Hard,False,
2460.3152437576,2440,Create Components With Same Value,create-components-with-same-value,Hard,False,
2457.115574186,1782,Count Pairs Of Nodes,count-pairs-of-nodes,Hard,False,
2456.3900212097,1499,Max Value of Equation,max-value-of-equation,Hard,False,
2455.8244137907,1040,Moving Stones Until Consecutive II,moving-stones-until-consecutive-ii,Medium,False,
2454.7653333657,1900,The Earliest and Latest Rounds Where Players Compete,the-earliest-and-latest-rounds-where-players-compete,Hard,False,
2453.9054896968,2463,Minimum Total Distance Traveled,minimum-total-distance-traveled,Hard,False,
2451.1558771446,3134,Find the Median of the Uniqueness Array,find-the-median-of-the-uniqueness-array,Hard,False,
2449.3352959316,2953,Count Complete Substrings,count-complete-substrings,Hard,False,
2449.1323757838,2127,Maximum Employees to Be Invited to a Meeting,maximum-employees-to-be-invited-to-a-meeting,Hard,False,
2448.4455464535,2926,Maximum Balanced Subsequence Sum,maximum-balanced-subsequence-sum,Hard,False,
2444.7192647604,2949,Count Beautiful Substrings II,count-beautiful-substrings-ii,Hard,False,
2444.6660756903,2421,Number of Good Paths,number-of-good-paths,Hard,False,
2444.2791027022,2968,Apply Operations to Maximize Frequency Score,apply-operations-to-maximize-frequency-score,Hard,False,
2439.7337408636,1872,Stone Game VIII,stone-game-viii,Hard,False,
2433.3767704629,903,Valid Permutations for DI Sequence,valid-permutations-for-di-sequence,Hard,False,
2432.713399111,2552,Count Increasing Quadruplets,count-increasing-quadruplets,Hard,False,
2432.4146343542,2565,Subsequence With the Minimum Score,subsequence-with-the-minimum-score,Hard,False,
2429.6705422448,782,Transform to Chessboard,transform-to-chessboard,Hard,False,
2429.0940568399,1998,GCD Sort of an Array,gcd-sort-of-an-array,Hard,False,
2428.7985254341,1044,Longest Duplicate Substring,longest-duplicate-substring,Hard,False,
2428.3242593838,2867,Count Valid Paths in a Tree,count-valid-paths-in-a-tree,Hard,False,
2424.6761561972,2742,Painting the Walls,painting-the-walls,Hard,False,
2422.5309771173,1000,Minimum Cost to Merge Stones,minimum-cost-to-merge-stones,Hard,False,
2422.3128048015,1987,Number of Unique Good Subsequences,number-of-unique-good-subsequences,Hard,False,
2419.5791089724,2572,Count the Number of Square-Free Subsets,count-the-number-of-square-free-subsets,Medium,False,
