ID,Title,Title Slug,Difficulty,premium,status
968,Binary Tree Cameras,binary-tree-cameras,Hard,False,
969,Pancake Sorting,pancake-sorting,Medium,False,
970,Powerful Integers,powerful-integers,Medium,False,
971,Flip Binary Tree To Match Preorder Traversal,flip-binary-tree-to-match-preorder-traversal,Medium,False,
972,Equal Rational Numbers,equal-rational-numbers,Hard,False,
973,K Closest Points to Origin,k-closest-points-to-origin,Medium,False,
974,Subarray Sums Divisible by K,subarray-sums-divisible-by-k,Medium,False,
975,Odd Even Jump,odd-even-jump,Hard,False,
976,Largest Perimeter Triangle,largest-perimeter-triangle,Easy,False,
977,Squares of a Sorted Array,squares-of-a-sorted-array,Easy,False,
978,Longest Turbulent Subarray,longest-turbulent-subarray,Medium,False,
979,Distribute Coins in Binary Tree,distribute-coins-in-binary-tree,Medium,False,
980,Unique Paths III,unique-paths-iii,Hard,False,
981,Time Based Key-Value Store,time-based-key-value-store,Medium,False,
982,Triples with Bitwise AND Equal To Zero,triples-with-bitwise-and-equal-to-zero,Hard,False,
983,Minimum Cost For Tickets,minimum-cost-for-tickets,Medium,False,
984,String Without AAA or BBB,string-without-aaa-or-bbb,Medium,False,
985,Sum of Even Numbers After Queries,sum-of-even-numbers-after-queries,Medium,False,
986,Interval List Intersections,interval-list-intersections,Medium,False,
987,Vertical Order Traversal of a Binary Tree,vertical-order-traversal-of-a-binary-tree,Hard,False,
988,Smallest String Starting From Leaf,smallest-string-starting-from-leaf,Medium,False,
989,Add to Array-Form of Integer,add-to-array-form-of-integer,Easy,False,
990,Satisfiability of Equality Equations,satisfiability-of-equality-equations,Medium,False,
991,Broken Calculator,broken-calculator,Medium,False,
992,Subarrays with K Different Integers,subarrays-with-k-different-integers,Hard,False,
993,Cousins in Binary Tree,cousins-in-binary-tree,Easy,False,
994,Rotting Oranges,rotting-oranges,Medium,False,
995,Minimum Number of K Consecutive Bit Flips,minimum-number-of-k-consecutive-bit-flips,Hard,False,
996,Number of Squareful Arrays,number-of-squareful-arrays,Hard,False,
997,Find the Town Judge,find-the-town-judge,Easy,False,
998,Maximum Binary Tree II,maximum-binary-tree-ii,Medium,False,
999,Available Captures for Rook,available-captures-for-rook,Easy,False,
1000,Minimum Cost to Merge Stones,minimum-cost-to-merge-stones,Hard,False,
1001,Grid Illumination,grid-illumination,Hard,False,
1002,Find Common Characters,find-common-characters,Easy,False,
1003,Check If Word Is Valid After Substitutions,check-if-word-is-valid-after-substitutions,Medium,False,
1004,Max Consecutive Ones III,max-consecutive-ones-iii,Medium,False,
1005,Maximize Sum Of Array After K Negations,maximize-sum-of-array-after-k-negations,Easy,False,
1006,Clumsy Factorial,clumsy-factorial,Medium,False,
1007,Minimum Domino Rotations For Equal Row,minimum-domino-rotations-for-equal-row,Medium,False,
1008,Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,Medium,False,
1009,Complement of Base 10 Integer,complement-of-base-10-integer,Easy,False,
1010,Pairs of Songs With Total Durations Divisible by 60,pairs-of-songs-with-total-durations-divisible-by-60,Medium,False,
1011,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,Medium,False,
1012,Numbers With Repeated Digits,numbers-with-repeated-digits,Hard,False,
1013,Partition Array Into Three Parts With Equal Sum,partition-array-into-three-parts-with-equal-sum,Easy,False,
1014,Best Sightseeing Pair,best-sightseeing-pair,Medium,False,
1015,Smallest Integer Divisible by K,smallest-integer-divisible-by-k,Medium,False,
1016,Binary String With Substrings Representing 1 To N,binary-string-with-substrings-representing-1-to-n,Medium,False,
1017,Convert to Base -2,convert-to-base-2,Medium,False,
1018,Binary Prefix Divisible By 5,binary-prefix-divisible-by-5,Easy,False,
1019,Next Greater Node In Linked List,next-greater-node-in-linked-list,Medium,False,
1020,Number of Enclaves,number-of-enclaves,Medium,False,
1021,Remove Outermost Parentheses,remove-outermost-parentheses,Easy,False,
1022,Sum of Root To Leaf Binary Numbers,sum-of-root-to-leaf-binary-numbers,Easy,False,
1023,Camelcase Matching,camelcase-matching,Medium,False,
1024,Video Stitching,video-stitching,Medium,False,
1025,Divisor Game,divisor-game,Easy,False,
1026,Maximum Difference Between Node and Ancestor,maximum-difference-between-node-and-ancestor,Medium,False,
1027,Longest Arithmetic Subsequence,longest-arithmetic-subsequence,Medium,False,
1028,Recover a Tree From Preorder Traversal,recover-a-tree-from-preorder-traversal,Hard,False,
1029,Two City Scheduling,two-city-scheduling,Medium,False,
1030,Matrix Cells in Distance Order,matrix-cells-in-distance-order,Easy,False,
1031,Maximum Sum of Two Non-Overlapping Subarrays,maximum-sum-of-two-non-overlapping-subarrays,Medium,False,
1032,Stream of Characters,stream-of-characters,Hard,False,
1033,Moving Stones Until Consecutive,moving-stones-until-consecutive,Medium,False,
1034,Coloring A Border,coloring-a-border,Medium,False,
1035,Uncrossed Lines,uncrossed-lines,Medium,False,
1036,Escape a Large Maze,escape-a-large-maze,Hard,False,
1037,Valid Boomerang,valid-boomerang,Easy,False,
1038,Binary Search Tree to Greater Sum Tree,binary-search-tree-to-greater-sum-tree,Medium,False,
1039,Minimum Score Triangulation of Polygon,minimum-score-triangulation-of-polygon,Medium,False,
1040,Moving Stones Until Consecutive II,moving-stones-until-consecutive-ii,Medium,False,
1041,Robot Bounded In Circle,robot-bounded-in-circle,Medium,False,
1042,Flower Planting With No Adjacent,flower-planting-with-no-adjacent,Medium,False,
1043,Partition Array for Maximum Sum,partition-array-for-maximum-sum,Medium,False,
1044,Longest Duplicate Substring,longest-duplicate-substring,Hard,False,
1046,Last Stone Weight,last-stone-weight,Easy,False,
1047,Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,Easy,False,
1048,Longest String Chain,longest-string-chain,Medium,False,
1049,Last Stone Weight II,last-stone-weight-ii,Medium,False,
1051,Height Checker,height-checker,Easy,False,
1052,Grumpy Bookstore Owner,grumpy-bookstore-owner,Medium,False,
1053,Previous Permutation With One Swap,previous-permutation-with-one-swap,Medium,False,
1054,Distant Barcodes,distant-barcodes,Medium,False,
1055,Shortest Way to Form String,shortest-way-to-form-string,Medium,True,
1056,Confusing Number,confusing-number,Easy,True,
1057,Campus Bikes,campus-bikes,Medium,True,
1058,Minimize Rounding Error to Meet Target,minimize-rounding-error-to-meet-target,Medium,True,
1059,All Paths from Source Lead to Destination,all-paths-from-source-lead-to-destination,Medium,True,
1060,Missing Element in Sorted Array,missing-element-in-sorted-array,Medium,True,
1061,Lexicographically Smallest Equivalent String,lexicographically-smallest-equivalent-string,Medium,False,
1062,Longest Repeating Substring,longest-repeating-substring,Medium,True,
1063,Number of Valid Subarrays,number-of-valid-subarrays,Hard,True,
1064,Fixed Point,fixed-point,Easy,True,
1065,Index Pairs of a String,index-pairs-of-a-string,Easy,True,
1066,Campus Bikes II,campus-bikes-ii,Medium,True,
1067,Digit Count in Range,digit-count-in-range,Hard,True,
1071,Greatest Common Divisor of Strings,greatest-common-divisor-of-strings,Easy,False,
1072,Flip Columns For Maximum Number of Equal Rows,flip-columns-for-maximum-number-of-equal-rows,Medium,False,
1073,Adding Two Negabinary Numbers,adding-two-negabinary-numbers,Medium,False,
1074,Number of Submatrices That Sum to Target,number-of-submatrices-that-sum-to-target,Hard,False,
1078,Occurrences After Bigram,occurrences-after-bigram,Easy,False,
1079,Letter Tile Possibilities,letter-tile-possibilities,Medium,False,
1080,Insufficient Nodes in Root to Leaf Paths,insufficient-nodes-in-root-to-leaf-paths,Medium,False,
1081,Smallest Subsequence of Distinct Characters,smallest-subsequence-of-distinct-characters,Medium,False,
1085,Sum of Digits in the Minimum Number,sum-of-digits-in-the-minimum-number,Easy,True,
1086,High Five,high-five,Easy,True,
1087,Brace Expansion,brace-expansion,Medium,True,
1088,Confusing Number II,confusing-number-ii,Hard,True,
1089,Duplicate Zeros,duplicate-zeros,Easy,False,
1090,Largest Values From Labels,largest-values-from-labels,Medium,False,
1091,Shortest Path in Binary Matrix,shortest-path-in-binary-matrix,Medium,False,
1092,Shortest Common Supersequence ,shortest-common-supersequence,Hard,False,
1093,Statistics from a Large Sample,statistics-from-a-large-sample,Medium,False,
1094,Car Pooling,car-pooling,Medium,False,
1095,Find in Mountain Array,find-in-mountain-array,Hard,False,
1096,Brace Expansion II,brace-expansion-ii,Hard,False,
1099,Two Sum Less Than K,two-sum-less-than-k,Easy,True,
1100,Find K-Length Substrings With No Repeated Characters,find-k-length-substrings-with-no-repeated-characters,Medium,True,
1101,The Earliest Moment When Everyone Become Friends,the-earliest-moment-when-everyone-become-friends,Medium,True,
1102,Path With Maximum Minimum Value,path-with-maximum-minimum-value,Medium,True,
1103,Distribute Candies to People,distribute-candies-to-people,Easy,False,
1104,Path In Zigzag Labelled Binary Tree,path-in-zigzag-labelled-binary-tree,Medium,False,
1105,Filling Bookcase Shelves,filling-bookcase-shelves,Medium,False,
1106,Parsing A Boolean Expression,parsing-a-boolean-expression,Hard,False,
1108,Defanging an IP Address,defanging-an-ip-address,Easy,False,
1109,Corporate Flight Bookings,corporate-flight-bookings,Medium,False,
1110,Delete Nodes And Return Forest,delete-nodes-and-return-forest,Medium,False,
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,maximum-nesting-depth-of-two-valid-parentheses-strings,Medium,False,
1118,Number of Days in a Month,number-of-days-in-a-month,Easy,True,
1119,Remove Vowels from a String,remove-vowels-from-a-string,Easy,True,
1120,Maximum Average Subtree,maximum-average-subtree,Medium,True,
1121,Divide Array Into Increasing Sequences,divide-array-into-increasing-sequences,Hard,True,
1122,Relative Sort Array,relative-sort-array,Easy,False,
1123,Lowest Common Ancestor of Deepest Leaves,lowest-common-ancestor-of-deepest-leaves,Medium,False,
1124,Longest Well-Performing Interval,longest-well-performing-interval,Medium,False,
1125,Smallest Sufficient Team,smallest-sufficient-team,Hard,False,
1128,Number of Equivalent Domino Pairs,number-of-equivalent-domino-pairs,Easy,False,
1129,Shortest Path with Alternating Colors,shortest-path-with-alternating-colors,Medium,False,
1130,Minimum Cost Tree From Leaf Values,minimum-cost-tree-from-leaf-values,Medium,False,
1131,Maximum of Absolute Value Expression,maximum-of-absolute-value-expression,Medium,False,
1133,Largest Unique Number,largest-unique-number,Easy,True,
1134,Armstrong Number,armstrong-number,Easy,True,
1135,Connecting Cities With Minimum Cost,connecting-cities-with-minimum-cost,Medium,True,
1136,Parallel Courses,parallel-courses,Medium,True,
1137,N-th Tribonacci Number,n-th-tribonacci-number,Easy,False,
1138,Alphabet Board Path,alphabet-board-path,Medium,False,
1139,Largest 1-Bordered Square,largest-1-bordered-square,Medium,False,
1140,Stone Game II,stone-game-ii,Medium,False,
1143,Longest Common Subsequence,longest-common-subsequence,Medium,False,
1144,Decrease Elements To Make Array Zigzag,decrease-elements-to-make-array-zigzag,Medium,False,
1145,Binary Tree Coloring Game,binary-tree-coloring-game,Medium,False,
1146,Snapshot Array,snapshot-array,Medium,False,
1147,Longest Chunked Palindrome Decomposition,longest-chunked-palindrome-decomposition,Hard,False,
1150,Check If a Number Is Majority Element in a Sorted Array,check-if-a-number-is-majority-element-in-a-sorted-array,Easy,True,
1151,Minimum Swaps to Group All 1's Together,minimum-swaps-to-group-all-1s-together,Medium,True,
1152,Analyze User Website Visit Pattern,analyze-user-website-visit-pattern,Medium,True,
1153,String Transforms Into Another String,string-transforms-into-another-string,Hard,True,
1154,Day of the Year,day-of-the-year,Easy,False,
1155,Number of Dice Rolls With Target Sum,number-of-dice-rolls-with-target-sum,Medium,False,
1156,Swap For Longest Repeated Character Substring,swap-for-longest-repeated-character-substring,Medium,False,
1157,Online Majority Element In Subarray,online-majority-element-in-subarray,Hard,False,
1160,Find Words That Can Be Formed by Characters,find-words-that-can-be-formed-by-characters,Easy,False,
1161,Maximum Level Sum of a Binary Tree,maximum-level-sum-of-a-binary-tree,Medium,False,
1162,As Far from Land as Possible,as-far-from-land-as-possible,Medium,False,
1163,Last Substring in Lexicographical Order,last-substring-in-lexicographical-order,Hard,False,
1165,Single-Row Keyboard,single-row-keyboard,Easy,True,
1166,Design File System,design-file-system,Medium,True,
1167,Minimum Cost to Connect Sticks,minimum-cost-to-connect-sticks,Medium,True,
1168,Optimize Water Distribution in a Village,optimize-water-distribution-in-a-village,Hard,True,
1169,Invalid Transactions,invalid-transactions,Medium,False,
1170,Compare Strings by Frequency of the Smallest Character,compare-strings-by-frequency-of-the-smallest-character,Medium,False,
1171,Remove Zero Sum Consecutive Nodes from Linked List,remove-zero-sum-consecutive-nodes-from-linked-list,Medium,False,
1172,Dinner Plate Stacks,dinner-plate-stacks,Hard,False,
1175,Prime Arrangements,prime-arrangements,Easy,False,
1176,Diet Plan Performance,diet-plan-performance,Easy,True,
1177,Can Make Palindrome from Substring,can-make-palindrome-from-substring,Medium,False,
1178,Number of Valid Words for Each Puzzle,number-of-valid-words-for-each-puzzle,Hard,False,
1180,Count Substrings with Only One Distinct Letter,count-substrings-with-only-one-distinct-letter,Easy,True,
1181,Before and After Puzzle,before-and-after-puzzle,Medium,True,
1182,Shortest Distance to Target Color,shortest-distance-to-target-color,Medium,True,
1183,Maximum Number of Ones,maximum-number-of-ones,Hard,True,
1184,Distance Between Bus Stops,distance-between-bus-stops,Easy,False,
1185,Day of the Week,day-of-the-week,Easy,False,
1186,Maximum Subarray Sum with One Deletion,maximum-subarray-sum-with-one-deletion,Medium,False,
1187,Make Array Strictly Increasing,make-array-strictly-increasing,Hard,False,
1189,Maximum Number of Balloons,maximum-number-of-balloons,Easy,False,
1190,Reverse Substrings Between Each Pair of Parentheses,reverse-substrings-between-each-pair-of-parentheses,Medium,False,
1191,K-Concatenation Maximum Sum,k-concatenation-maximum-sum,Medium,False,
1192,Critical Connections in a Network,critical-connections-in-a-network,Hard,False,
1196,How Many Apples Can You Put into the Basket,how-many-apples-can-you-put-into-the-basket,Easy,True,
1197,Minimum Knight Moves,minimum-knight-moves,Medium,True,
1198,Find Smallest Common Element in All Rows,find-smallest-common-element-in-all-rows,Medium,True,
1199,Minimum Time to Build Blocks,minimum-time-to-build-blocks,Hard,True,
1200,Minimum Absolute Difference,minimum-absolute-difference,Easy,False,
1201,Ugly Number III,ugly-number-iii,Medium,False,
1202,Smallest String With Swaps,smallest-string-with-swaps,Medium,False,
1203,Sort Items by Groups Respecting Dependencies,sort-items-by-groups-respecting-dependencies,Hard,False,
1206,Design Skiplist,design-skiplist,Hard,False,
1207,Unique Number of Occurrences,unique-number-of-occurrences,Easy,False,
1208,Get Equal Substrings Within Budget,get-equal-substrings-within-budget,Medium,False,
1209,Remove All Adjacent Duplicates in String II,remove-all-adjacent-duplicates-in-string-ii,Medium,False,
1210,Minimum Moves to Reach Target with Rotations,minimum-moves-to-reach-target-with-rotations,Hard,False,
1213,Intersection of Three Sorted Arrays,intersection-of-three-sorted-arrays,Easy,True,
1214,Two Sum BSTs,two-sum-bsts,Medium,True,
1215,Stepping Numbers,stepping-numbers,Medium,True,
1216,Valid Palindrome III,valid-palindrome-iii,Hard,True,
1217,Minimum Cost to Move Chips to The Same Position,minimum-cost-to-move-chips-to-the-same-position,Easy,False,
1218,Longest Arithmetic Subsequence of Given Difference,longest-arithmetic-subsequence-of-given-difference,Medium,False,
1219,Path with Maximum Gold,path-with-maximum-gold,Medium,False,
1220,Count Vowels Permutation,count-vowels-permutation,Hard,False,
1221,Split a String in Balanced Strings,split-a-string-in-balanced-strings,Easy,False,
1222,Queens That Can Attack the King,queens-that-can-attack-the-king,Medium,False,
1223,Dice Roll Simulation,dice-roll-simulation,Hard,False,
1224,Maximum Equal Frequency,maximum-equal-frequency,Hard,False,
1227,Airplane Seat Assignment Probability,airplane-seat-assignment-probability,Medium,False,
1228,Missing Number In Arithmetic Progression,missing-number-in-arithmetic-progression,Easy,True,
1229,Meeting Scheduler,meeting-scheduler,Medium,True,
1230,Toss Strange Coins,toss-strange-coins,Medium,True,
1231,Divide Chocolate,divide-chocolate,Hard,True,
1232,Check If It Is a Straight Line,check-if-it-is-a-straight-line,Easy,False,
1233,Remove Sub-Folders from the Filesystem,remove-sub-folders-from-the-filesystem,Medium,False,
1234,Replace the Substring for Balanced String,replace-the-substring-for-balanced-string,Medium,False,
1235,Maximum Profit in Job Scheduling,maximum-profit-in-job-scheduling,Hard,False,
1236,Web Crawler,web-crawler,Medium,True,
1237,Find Positive Integer Solution for a Given Equation,find-positive-integer-solution-for-a-given-equation,Medium,False,
1238,Circular Permutation in Binary Representation,circular-permutation-in-binary-representation,Medium,False,
1239,Maximum Length of a Concatenated String with Unique Characters,maximum-length-of-a-concatenated-string-with-unique-characters,Medium,False,
1240,Tiling a Rectangle with the Fewest Squares,tiling-a-rectangle-with-the-fewest-squares,Hard,False,
1243,Array Transformation,array-transformation,Easy,True,
1244,Design A Leaderboard,design-a-leaderboard,Medium,True,
1245,Tree Diameter,tree-diameter,Medium,True,
1246,Palindrome Removal,palindrome-removal,Hard,True,
1247,Minimum Swaps to Make Strings Equal,minimum-swaps-to-make-strings-equal,Medium,False,
1248,Count Number of Nice Subarrays,count-number-of-nice-subarrays,Medium,False,
1249,Minimum Remove to Make Valid Parentheses,minimum-remove-to-make-valid-parentheses,Medium,False,
1250,Check If It Is a Good Array,check-if-it-is-a-good-array,Hard,False,
1252,Cells with Odd Values in a Matrix,cells-with-odd-values-in-a-matrix,Easy,False,
1253,Reconstruct a 2-Row Binary Matrix,reconstruct-a-2-row-binary-matrix,Medium,False,
1254,Number of Closed Islands,number-of-closed-islands,Medium,False,
1255,Maximum Score Words Formed by Letters,maximum-score-words-formed-by-letters,Hard,False,
1256,Encode Number,encode-number,Medium,True,
1257,Smallest Common Region,smallest-common-region,Medium,True,
1258,Synonymous Sentences,synonymous-sentences,Medium,True,
1259,Handshakes That Don't Cross,handshakes-that-dont-cross,Hard,True,
1260,Shift 2D Grid,shift-2d-grid,Easy,False,
1261,Find Elements in a Contaminated Binary Tree,find-elements-in-a-contaminated-binary-tree,Medium,False,
1262,Greatest Sum Divisible by Three,greatest-sum-divisible-by-three,Medium,False,
1263,Minimum Moves to Move a Box to Their Target Location,minimum-moves-to-move-a-box-to-their-target-location,Hard,False,
1265,Print Immutable Linked List in Reverse,print-immutable-linked-list-in-reverse,Medium,True,
1266,Minimum Time Visiting All Points,minimum-time-visiting-all-points,Easy,False,
1267,Count Servers that Communicate,count-servers-that-communicate,Medium,False,
1268,Search Suggestions System,search-suggestions-system,Medium,False,
1269,Number of Ways to Stay in the Same Place After Some Steps,number-of-ways-to-stay-in-the-same-place-after-some-steps,Hard,False,
1271,Hexspeak,hexspeak,Easy,True,
1272,Remove Interval,remove-interval,Medium,True,
1273,Delete Tree Nodes,delete-tree-nodes,Medium,True,
1274,Number of Ships in a Rectangle,number-of-ships-in-a-rectangle,Hard,True,
1275,Find Winner on a Tic Tac Toe Game,find-winner-on-a-tic-tac-toe-game,Easy,False,
1276,Number of Burgers with No Waste of Ingredients,number-of-burgers-with-no-waste-of-ingredients,Medium,False,
1277,Count Square Submatrices with All Ones,count-square-submatrices-with-all-ones,Medium,False,
1278,Palindrome Partitioning III,palindrome-partitioning-iii,Hard,False,
1281,Subtract the Product and Sum of Digits of an Integer,subtract-the-product-and-sum-of-digits-of-an-integer,Easy,False,
1282,Group the People Given the Group Size They Belong To,group-the-people-given-the-group-size-they-belong-to,Medium,False,
1283,Find the Smallest Divisor Given a Threshold,find-the-smallest-divisor-given-a-threshold,Medium,False,
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,Hard,False,
1286,Iterator for Combination,iterator-for-combination,Medium,False,
1287,Element Appearing More Than 25% In Sorted Array,element-appearing-more-than-25-in-sorted-array,Easy,False,
1288,Remove Covered Intervals,remove-covered-intervals,Medium,False,
1289,Minimum Falling Path Sum II,minimum-falling-path-sum-ii,Hard,False,
1290,Convert Binary Number in a Linked List to Integer,convert-binary-number-in-a-linked-list-to-integer,Easy,False,
1291,Sequential Digits,sequential-digits,Medium,False,
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,Medium,False,
1293,Shortest Path in a Grid with Obstacles Elimination,shortest-path-in-a-grid-with-obstacles-elimination,Hard,False,
1295,Find Numbers with Even Number of Digits,find-numbers-with-even-number-of-digits,Easy,False,
1296,Divide Array in Sets of K Consecutive Numbers,divide-array-in-sets-of-k-consecutive-numbers,Medium,False,
1297,Maximum Number of Occurrences of a Substring,maximum-number-of-occurrences-of-a-substring,Medium,False,
1298,Maximum Candies You Can Get from Boxes,maximum-candies-you-can-get-from-boxes,Hard,False,
1299,Replace Elements with Greatest Element on Right Side,replace-elements-with-greatest-element-on-right-side,Easy,False,
1300,Sum of Mutated Array Closest to Target,sum-of-mutated-array-closest-to-target,Medium,False,
1301,Number of Paths with Max Score,number-of-paths-with-max-score,Hard,False,
1302,Deepest Leaves Sum,deepest-leaves-sum,Medium,False,
1304,Find N Unique Integers Sum up to Zero,find-n-unique-integers-sum-up-to-zero,Easy,False,
1305,All Elements in Two Binary Search Trees,all-elements-in-two-binary-search-trees,Medium,False,
1306,Jump Game III,jump-game-iii,Medium,False,
1307,Verbal Arithmetic Puzzle,verbal-arithmetic-puzzle,Hard,False,
1309,Decrypt String from Alphabet to Integer Mapping,decrypt-string-from-alphabet-to-integer-mapping,Easy,False,
1310,XOR Queries of a Subarray,xor-queries-of-a-subarray,Medium,False,
1311,Get Watched Videos by Your Friends,get-watched-videos-by-your-friends,Medium,False,
1312,Minimum Insertion Steps to Make a String Palindrome,minimum-insertion-steps-to-make-a-string-palindrome,Hard,False,
1313,Decompress Run-Length Encoded List,decompress-run-length-encoded-list,Easy,False,
1314,Matrix Block Sum,matrix-block-sum,Medium,False,
1315,Sum of Nodes with Even-Valued Grandparent,sum-of-nodes-with-even-valued-grandparent,Medium,False,
1316,Distinct Echo Substrings,distinct-echo-substrings,Hard,False,
1317,Convert Integer to the Sum of Two No-Zero Integers,convert-integer-to-the-sum-of-two-no-zero-integers,Easy,False,
1318,Minimum Flips to Make a OR b Equal to c,minimum-flips-to-make-a-or-b-equal-to-c,Medium,False,
1319,Number of Operations to Make Network Connected,number-of-operations-to-make-network-connected,Medium,False,
1320,Minimum Distance to Type a Word Using Two Fingers,minimum-distance-to-type-a-word-using-two-fingers,Hard,False,
1323,Maximum 69 Number,maximum-69-number,Easy,False,
1324,Print Words Vertically,print-words-vertically,Medium,False,
1325,Delete Leaves With a Given Value,delete-leaves-with-a-given-value,Medium,False,
1326,Minimum Number of Taps to Open to Water a Garden,minimum-number-of-taps-to-open-to-water-a-garden,Hard,False,
1328,Break a Palindrome,break-a-palindrome,Medium,False,
1329,Sort the Matrix Diagonally,sort-the-matrix-diagonally,Medium,False,
1330,Reverse Subarray To Maximize Array Value,reverse-subarray-to-maximize-array-value,Hard,False,
1331,Rank Transform of an Array,rank-transform-of-an-array,Easy,False,
1332,Remove Palindromic Subsequences,remove-palindromic-subsequences,Easy,False,
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",filter-restaurants-by-vegan-friendly-price-and-distance,Medium,False,
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,Medium,False,
1335,Minimum Difficulty of a Job Schedule,minimum-difficulty-of-a-job-schedule,Hard,False,
1337,The K Weakest Rows in a Matrix,the-k-weakest-rows-in-a-matrix,Easy,False,
1338,Reduce Array Size to The Half,reduce-array-size-to-the-half,Medium,False,
1339,Maximum Product of Splitted Binary Tree,maximum-product-of-splitted-binary-tree,Medium,False,
1340,Jump Game V,jump-game-v,Hard,False,
1342,Number of Steps to Reduce a Number to Zero,number-of-steps-to-reduce-a-number-to-zero,Easy,False,
1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,Medium,False,
1344,Angle Between Hands of a Clock,angle-between-hands-of-a-clock,Medium,False,
1345,Jump Game IV,jump-game-iv,Hard,False,
1346,Check If N and Its Double Exist,check-if-n-and-its-double-exist,Easy,False,
1347,Minimum Number of Steps to Make Two Strings Anagram,minimum-number-of-steps-to-make-two-strings-anagram,Medium,False,
1348,Tweet Counts Per Frequency,tweet-counts-per-frequency,Medium,False,
1349,Maximum Students Taking Exam,maximum-students-taking-exam,Hard,False,
1351,Count Negative Numbers in a Sorted Matrix,count-negative-numbers-in-a-sorted-matrix,Easy,False,
1352,Product of the Last K Numbers,product-of-the-last-k-numbers,Medium,False,
1353,Maximum Number of Events That Can Be Attended,maximum-number-of-events-that-can-be-attended,Medium,False,
1354,Construct Target Array With Multiple Sums,construct-target-array-with-multiple-sums,Hard,False,
1356,Sort Integers by The Number of 1 Bits,sort-integers-by-the-number-of-1-bits,Easy,False,
1357,Apply Discount Every n Orders,apply-discount-every-n-orders,Medium,False,
1358,Number of Substrings Containing All Three Characters,number-of-substrings-containing-all-three-characters,Medium,False,
1359,Count All Valid Pickup and Delivery Options,count-all-valid-pickup-and-delivery-options,Hard,False,
1360,Number of Days Between Two Dates,number-of-days-between-two-dates,Easy,False,
1361,Validate Binary Tree Nodes,validate-binary-tree-nodes,Medium,False,
1362,Closest Divisors,closest-divisors,Medium,False,
1363,Largest Multiple of Three,largest-multiple-of-three,Hard,False,
1365,How Many Numbers Are Smaller Than the Current Number,how-many-numbers-are-smaller-than-the-current-number,Easy,False,
1366,Rank Teams by Votes,rank-teams-by-votes,Medium,False,
1367,Linked List in Binary Tree,linked-list-in-binary-tree,Medium,False,
1368,Minimum Cost to Make at Least One Valid Path in a Grid,minimum-cost-to-make-at-least-one-valid-path-in-a-grid,Hard,False,
1370,Increasing Decreasing String,increasing-decreasing-string,Easy,False,
1371,Find the Longest Substring Containing Vowels in Even Counts,find-the-longest-substring-containing-vowels-in-even-counts,Medium,False,
1372,Longest ZigZag Path in a Binary Tree,longest-zigzag-path-in-a-binary-tree,Medium,False,
1373,Maximum Sum BST in Binary Tree,maximum-sum-bst-in-binary-tree,Hard,False,
1374,Generate a String With Characters That Have Odd Counts,generate-a-string-with-characters-that-have-odd-counts,Easy,False,
1375,Number of Times Binary String Is Prefix-Aligned,number-of-times-binary-string-is-prefix-aligned,Medium,False,
1376,Time Needed to Inform All Employees,time-needed-to-inform-all-employees,Medium,False,
1377,Frog Position After T Seconds,frog-position-after-t-seconds,Hard,False,
1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,Easy,False,
1380,Lucky Numbers in a Matrix,lucky-numbers-in-a-matrix,Easy,False,
1381,Design a Stack With Increment Operation,design-a-stack-with-increment-operation,Medium,False,
1382,Balance a Binary Search Tree,balance-a-binary-search-tree,Medium,False,
1383,Maximum Performance of a Team,maximum-performance-of-a-team,Hard,False,
1385,Find the Distance Value Between Two Arrays,find-the-distance-value-between-two-arrays,Easy,False,
1386,Cinema Seat Allocation,cinema-seat-allocation,Medium,False,
1387,Sort Integers by The Power Value,sort-integers-by-the-power-value,Medium,False,
1388,Pizza With 3n Slices,pizza-with-3n-slices,Hard,False,
1389,Create Target Array in the Given Order,create-target-array-in-the-given-order,Easy,False,
1390,Four Divisors,four-divisors,Medium,False,
1391,Check if There is a Valid Path in a Grid,check-if-there-is-a-valid-path-in-a-grid,Medium,False,
1392,Longest Happy Prefix,longest-happy-prefix,Hard,False,
1394,Find Lucky Integer in an Array,find-lucky-integer-in-an-array,Easy,False,
1395,Count Number of Teams,count-number-of-teams,Medium,False,
1396,Design Underground System,design-underground-system,Medium,False,
1397,Find All Good Strings,find-all-good-strings,Hard,False,
1399,Count Largest Group,count-largest-group,Easy,False,
1400,Construct K Palindrome Strings,construct-k-palindrome-strings,Medium,False,
